"uid","firstname","lastname","region","departement","circonscription","profession","group","group_short"
"301457","PAOLA","FRASSINETTI",,,"LOMBARDIA 1 - P02","Laurea in giurisprudenza; Avvocato","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"301558","ELISABETTA","GARDINI",,,"VENETO 2 - P01","Diploma di liceo classico, Diploma alla bottega teatrale di Firenze di VIttorio Gassman; Attrice di teatro","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"301436","FABIO","RAMPELLI",,,"LAZIO 1 - P01","Laurea in architettura; Architetto","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"301439","LORENZO","CESA",,,"MOLISE - P01","Laurea in scienze politiche; Parlamentare","MISTO (MISTO) (18.10.2022","MISTO"
"300447","MAURIZIO ENZO","LUPI",,,"LOMBARDIA 2 - P02","Laurea in scienze politiche; Dirigente di azienda privata","MISTO (MISTO) (18.10.2022","MISTO"
"300369","FRANCESCO SAVERIO","ROMANO",,,"SICILIA 1 - P01","Laurea in giurisprudenza; Avvocato","MISTO (MISTO) (18.10.2022","MISTO"
"301577","BENEDETTO","DELLA VEDOVA",,,"LOMBARDIA 1 - P01","Ricercatore; Economista","MISTO (MISTO) (18.10.2022","MISTO"
"302080","ANGELO","BONELLI",,,"EMILIA-ROMAGNA - P02","Diploma di istituto tecnico per geometri","MISTO (MISTO) (18.10.2022","MISTO"
"305880","NICOLA","FRATOIANNI","ALLEANZA VERDI E SINISTRA","proporzionale","TOSCANA - P03","Laurea in lettere e filosofia","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS"
"305708","MATTEO","RICHETTI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","EMILIA-ROMAGNA - P01","Diploma di liceo scientifico; Addetto alle pubbliche relazioni","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"305553","MARIA CHIARA","GADDA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 2 - P02","Laurea in ingegneria gestionale; Dipendente di azienda privata","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"302942","ANTONIO","ANGELUCCI","LEGA PER SALVINI PREMIER","proporzionale","LAZIO 1 - P02","Licenza media; Imprenditore","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
